Date,Open,High,Low,Close,Volume
2021-01-01,154.14,156.13,152.86,153.64,961259
2021-01-04,153.19,154.95,152.58,153.87,1416612
2021-01-05,154.24,155.38,152.5,153.7,1388222
2021-01-06,154.64,155.67,153.18,154.84,1034704
2021-01-07,154.0,155.93,153.27,154.52,1360486
2021-01-08,154.03,154.81,152.94,154.14,1275050
2021-01-11,154.18,155.14,153.18,154.04,1115965
2021-01-12,153.87,155.46,152.76,154.12,805601
2021-01-13,154.52,155.24,152.61,154.24,763246
2021-01-14,152.45,154.36,151.15,152.74,1261113
2021-01-15,155.01,156.1,153.36,154.7,901111
2021-01-18,153.73,155.31,151.67,153.51,1104094
2021-01-19,154.04,154.75,153.2,154.07,1038840
2021-01-20,156.08,157.12,155.28,156.3,1310342
2021-01-21,156.24,157.04,155.19,156.16,1081594
2021-01-22,156.59,157.74,155.36,156.31,1134180
2021-01-25,156.09,157.15,154.08,155.06,1207810
2021-01-26,154.37,155.35,152.82,153.9,1253735
2021-01-27,155.47,156.25,154.0,154.98,1096206
2021-01-28,156.72,157.26,153.83,155.17,1016642
2021-01-29,155.23,156.43,153.61,154.97,1118479
2021-02-01,155.54,156.6,154.29,155.29,1482442
2021-02-02,155.18,156.2,153.3,154.83,1521387
2021-02-03,154.72,157.21,153.06,155.22,1233178
2021-02-04,153.57,154.73,152.91,153.79,1049757
2021-02-05,154.39,156.25,153.49,154.64,1037576
2021-02-08,154.9,155.79,153.58,154.58,1140355
2021-02-09,154.08,155.35,153.43,154.16,1099060
2021-02-10,154.88,155.86,154.1,154.81,984998
2021-02-11,155.65,156.21,154.2,155.11,1332060
2021-02-12,156.88,158.56,155.71,156.45,1839246
2021-02-15,157.74,158.75,156.96,157.82,1088265
2021-02-16,155.69,157.43,155.06,156.02,1265296
2021-02-17,155.99,156.67,154.37,155.42,1301979
2021-02-18,154.81,155.68,153.32,154.42,1311247
2021-02-19,155.43,157.02,154.14,156.23,1170914
2021-02-22,156.64,158.41,155.51,156.79,1015753
2021-02-23,156.14,157.45,155.25,156.05,1268545
2021-02-24,157.73,159.31,156.16,157.34,1365625
2021-02-25,157.2,158.88,155.76,156.74,1120429
2021-02-26,158.77,160.4,157.61,158.63,870284
2021-03-01,158.55,159.8,157.29,158.26,1016985
2021-03-02,158.11,158.59,156.6,158.08,1210461
2021-03-03,158.09,159.49,156.43,158.43,1086195
2021-03-05,160.77,162.01,159.55,160.76,1159579
2021-03-08,158.45,159.63,157.1,158.46,1299801
2021-03-09,158.29,159.88,157.53,159.24,1068927
2021-03-10,161.04,162.13,159.73,161.24,1389668
2021-03-11,162.15,162.8,161.13,162.12,933784
2021-03-12,163.11,164.52,162.26,163.25,1074366
2021-03-15,163.78,164.54,162.62,,1044936
2021-03-16,162.9,164.0,161.68,162.66,1693697
2021-03-17,163.43,165.37,162.28,163.97,1164366
2021-03-18,163.26,166.01,162.1,164.07,1049094
2021-03-19,163.19,164.71,162.47,163.36,1193661
